group,symbol,hypothesis,n,mean_bps,median_bps,std_bps,win_rate,baseline_n,baseline_mean_bps,baseline_win_rate,mean_diff_bps,welch_t,welch_p,p_bonferroni,boot_ci_lo_bps,boot_ci_hi_bps,p_boot
index,^SOX,thu_fri,242,-3.75,-1.21,130.56,0.4959,962,11.9,0.5426,-15.66,-1.622,0.10563,0.21126,-34.54,3.3,0.11
index,^SOX,holiday,50,-4.01,-13.21,139.08,0.46,962,11.9,0.5426,-15.91,-0.786,0.43513,0.87026,-54.92,24.1,0.424
index,^SOX,thu_fri_ex_monthly_opex,186,-1.71,5.61,137.44,0.5161,731,9.57,0.5431,-11.28,-0.989,0.32355,,-33.57,11.11,0.3324
target,SMH,thu_fri,242,-0.09,6.52,124.32,0.5207,962,13.77,0.5405,-13.86,-1.497,0.13504,1.0,-31.96,3.96,0.1336
target,SMH,holiday,50,-3.78,4.18,129.49,0.52,962,13.77,0.5405,-17.55,-0.929,0.35716,1.0,-54.06,19.17,0.3446
target,SMH,thu_fri_ex_monthly_opex,186,1.92,11.3,130.36,0.5484,731,11.07,0.5404,-9.14,-0.838,0.4027,,-30.72,11.84,0.3974
target,ENTG,thu_fri,242,-3.92,1.56,151.43,0.5041,962,6.27,0.5021,-10.19,-0.88,0.37948,1.0,-33.34,12.23,0.376
target,ENTG,holiday,50,-14.36,-28.17,150.19,0.44,962,6.27,0.5021,-20.63,-0.932,0.35546,1.0,-63.2,22.26,0.3508
target,ENTG,thu_fri_ex_monthly_opex,186,-5.7,5.36,158.56,0.5215,731,1.97,0.5116,-7.67,-0.567,0.57118,,-33.61,18.56,0.5782
target,MKSI,thu_fri,242,-10.25,0.56,159.0,0.5,962,12.52,0.5125,-22.77,-1.917,0.05595,0.8952,-46.56,-0.0,0.05
target,MKSI,holiday,50,-18.2,-33.15,160.04,0.42,962,12.52,0.5125,-30.72,-1.311,0.1951,1.0,-74.86,15.07,0.1842
target,MKSI,thu_fri_ex_monthly_opex,186,-7.32,11.18,163.35,0.5269,731,11.85,0.513,-19.17,-1.394,0.16417,,-46.04,7.66,0.1642
target,ONTO,thu_fri,241,-6.92,4.54,194.0,0.5021,962,14.24,0.5187,-21.16,-1.519,0.12955,1.0,-48.04,5.98,0.1216
target,ONTO,holiday,50,2.02,-16.01,186.64,0.48,962,14.24,0.5187,-12.22,-0.451,0.65381,1.0,-63.46,41.18,0.6508
target,ONTO,thu_fri_ex_monthly_opex,185,-10.39,4.54,205.49,0.5027,731,10.66,0.5157,-21.06,-1.272,0.20453,,-53.86,10.66,0.2016
target,AMKR,thu_fri,242,0.16,20.18,161.2,0.5496,960,12.62,0.5333,-12.46,-1.018,0.3091,1.0,-36.38,11.56,0.3114
target,AMKR,holiday,50,11.84,2.48,232.39,0.5,960,12.62,0.5333,-0.78,-0.023,0.9815,1.0,-63.57,67.21,0.97
target,AMKR,thu_fri_ex_monthly_opex,186,-0.9,17.03,170.85,0.5376,729,8.75,0.5309,-9.65,-0.665,0.50666,,-37.8,18.98,0.5136
target,POWI,thu_fri,242,10.46,7.73,169.48,0.5331,962,1.84,0.5114,8.62,0.72,0.47214,1.0,-14.45,32.11,0.4636
target,POWI,holiday,50,-15.44,-48.41,221.87,0.42,962,1.84,0.5114,-17.28,-0.544,0.58873,1.0,-71.77,50.45,0.5508
target,POWI,thu_fri_ex_monthly_opex,186,6.89,2.83,184.5,0.5161,731,-3.32,0.5075,10.21,0.696,0.48683,,-18.76,38.66,0.489
target,NOVT,thu_fri,242,7.8,5.94,124.37,0.5083,961,3.76,0.5151,4.04,0.45,0.65289,1.0,-13.19,21.84,0.6698
target,NOVT,holiday,50,-33.83,-26.96,109.06,0.34,961,3.76,0.5151,-37.59,-2.355,0.02203,0.35248,-69.47,-6.29,0.0174
target,NOVT,thu_fri_ex_monthly_opex,186,4.38,0.0,133.86,0.4946,730,-0.83,0.5137,5.21,0.481,0.63121,,-15.45,27.27,0.641
target,WTS,thu_fri,242,10.54,6.9,82.46,0.5289,962,5.46,0.5146,5.08,0.824,0.41025,1.0,-6.99,17.08,0.4114
target,WTS,holiday,50,-34.04,-33.07,87.9,0.36,962,5.46,0.5146,-39.5,-3.081,0.00321,0.05136,-64.99,-14.78,0.0022
target,WTS,thu_fri_ex_monthly_opex,186,6.94,2.88,84.39,0.5108,731,3.86,0.5171,3.08,0.43,0.66739,,-10.97,16.53,0.6778
